ID,idade,gênero,gênero_3_TEXT,decl_racial,decl_racial_5_TEXT,escolaridade,escolaridade_transf,área_estudo,curso,cidade_bairro_1,renda,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,verif_contrato_2,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,A casa_1,A casa_2,A casa_3,verif_casa,economicam,felicidade,atratividade_trab,verif_maria,setal1997-funnel
163,32,Mulher,NA,Pardo,NA,Pós graduação (completa),2,Humanas,Administração,Belém,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,A,NA,NA,20%,Igual,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,9
164,32,Homem,NA,Pardo,NA,Pós graduação (completa),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,59,Mulher,NA,Pardo,NA,Superior (completo),2,Não cursei,Nao cursei,Sao paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,23,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Jornalismo,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,F,Não sei,NA,NA,Igual,Igual,Aumentou,1,2,3,1 ano,NA,NA,Carolina,60 e 150,6
167,18,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Bacharelado em Ciências e Tecnologia,Ribeirão PIres,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",5,B,NA,NA,20%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,Carolina,NA,60 e 150,6
168,22,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Psicologia,Braga,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,NA,E,Não sei,NA,NA,Igual,Menos suscetível,Aumentou,2,3,1,1 ano,Maria,NA,NA,70 e 120,5
169,26,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Humanas,Psicologia,Sp,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,A,NA,NA,10%,NA,NA,Mais suscetível,Igual,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,8
170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,22,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Psicologia,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,60 e 150,NA
172,23,Mulher,NA,Branco,NA,Superior (completo),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,27,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Biológicas,Biologia,SP,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,F,20%,NA,NA,Igual,Igual,Aumentou,3,2,1,2 anos,NA,Maria,NA,60 e 150,7
174,30,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Medicina,Sao Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,28,Homem,NA,Branco,NA,Superior (completo),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,51,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Nutrição,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,NA,NA,E,Não sei,NA,NA,Igual,Menos suscetível,Aumentou,2,1,3,Não sei,NA,NA,Maria,60 e 150,8
177,23,Homem,NA,Branco,NA,Superior (completo),2,Humanas,Administração e atualmente Teatro,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,A,NA,NA,20%,NA,NA,Igual,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Maria,NA,60 e 150,5
178,52,Mulher,NA,Pardo,NA,Pós graduação (completa),2,Humanas,Letras,Sao Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA
179,35,Mulher,NA,Branco,NA,Pós graduação (completa),2,Biológicas,Tecnologia em Aquicultura,Itajaí,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,D,NA,20%,NA,NA,Igual,Menos suscetível,Aumentou,1,2,3,2 anos,NA,NA,Carolina,60 e 150,8
180,20,Mulher,NA,Preto,NA,Superior (incompleto),2,Biológicas,Psicologia,Campina Grande,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,B,NA,NA,20%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,1 ano,Maria,NA,NA,60 e 150,4
181,50,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Letras,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,NA,NA,NA,NA,NA,NA,Menos suscetível,Igual,Aumentou,3,1,2,1 ano,NA,Maria,NA,60 e 150,NA
182,26,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Design de Moda,Campinas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",2,NA,C,NA,Não sei,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,Maria,NA,NA,60 e 150,3
183,21,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia da Computação,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,C,NA,20%,Mais suscetível,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,Maria,NA,NA,60 e 150,7
184,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Direito,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,NA,F,20%,NA,NA,Igual,Igual,Aumentou,1,2,3,1 ano,Maria,NA,NA,60 e 150,4
185,25,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Humanas,Marketing,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,1,2,1 ano,NA,Carolina,NA,60 e 150,8
186,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Artes,Arquitetura e Urbanismo,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,D,NA,20%,Igual,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,8
187,24,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,Santos,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,A,NA,NA,20%,Mais suscetível,Igual,NA,NA,Permaneceu o mesmo,2,3,1,1 ano,NA,Carolina,NA,60 e 150,6
188,22,Homem,NA,Pardo,NA,Superior (incompleto),2,Humanas,Relações Internacionais,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,B,NA,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,2,3,1,1 ano,NA,NA,Maria,60 e 150,10
189,51,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Não cursei,NA,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,F,Não sei,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,Não sei,Maria,NA,NA,90 e 60,1
190,18,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,C,NA,Não sei,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,1,2,3,1 ano,NA,Carolina,NA,60 e 150,7
191,35,Mulher,NA,Branco,NA,Pós graduação (completa),2,Biológicas,Aquicultura,Itajaí,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,21,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Publicidade e propaganda,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,NA,F,20%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,NA,Carolina,60 e 150,6
193,21,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia Agronômica,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,E,20%,NA,NA,Igual,Menos suscetível,Aumentou,1,2,3,2 anos,NA,NA,Maria,60 e 150,8
194,26,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,Não sei,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,8
195,41,Mulher,NA,Pardo,NA,Superior (incompleto),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,19,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,ciência da computação,Caratinga MG,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,C,NA,40%,NA,NA,Mais suscetível,Igual,Aumentou,2,1,3,1 ano,NA,Maria,NA,90 e 60,4
197,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,C,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,1,2,1 ano,NA,Maria,NA,60 e 150,9
198,18,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Biológicas,psicologia,sp,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,D,NA,10%,Igual,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,7
199,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Direito,Sao Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,B,NA,NA,Não sei,Igual,Igual,NA,NA,Aumentou,1,2,3,Não sei,NA,Maria,NA,60 e 150,6
200,57,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Pedagogia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,F,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,1,2,1 ano,Maria,NA,NA,60 e 150,10
201,41,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,Não sei,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,NA,NA,Maria,60 e 150,10
202,52,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,"Direito, História, Contabilidade",Sao paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,8
203,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,Montréal / Sao Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,NA,F,20%,Menos suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Carolina,60 e 150,3
204,24,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Direito,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,NA,NA,NA,Mais suscetível,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,NA
205,21,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Ciência da Computação,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",6 ou mais,NA,C,NA,Não sei,NA,NA,Mais suscetível,Igual,Aumentou,2,3,1,2 anos,Maria,NA,NA,60 e 150,8
206,23,Mulher,NA,Asiático,NA,Superior (incompleto),2,Saúde,Medicina,Sao paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,F,30%,Igual,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,6
207,22,Homem,NA,Asiático,NA,Superior (incompleto),2,Saúde,Medicina,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,D,NA,30%,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,Maria,NA,60 e 150,7
208,22,Mulher,NA,Asiático,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,B,NA,NA,20%,NA,NA,Mais suscetível,Igual,Aumentou,3,1,2,1 ano,NA,Carolina,NA,60 e 150,8
209,22,Mulher,NA,Asiático,NA,Superior (incompleto),2,Humanas,Publicidade e Propaganda,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,E,Não sei,Igual,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,Maria,NA,60 e 150,5
210,52,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Não cursei,NA,Sâo Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,90 e 60,NA
211,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Biológicas,Medicina,Votuporanga,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,D,NA,20%,Menos suscetível,Menos suscetível,NA,NA,Não sei,3,2,1,1 ano,NA,NA,Maria,30 e 90,5
212,24,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Biológicas,Ciências Biomédicas,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,Menos suscetível,Igual,NA,NA,Aumentou,1,2,3,Não sei,NA,Maria,NA,60 e 150,9
213,21,Homem,NA,Branco,NA,Superior (incompleto),2,Biológicas,Psicologia,Sao Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,NA,F,20%,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Maria,60 e 150,7
214,22,Mulher,NA,Asiático,NA,Superior (incompleto),2,Saúde,Medicina Veterinária,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,D,NA,20%,Menos suscetível,Menos suscetível,NA,NA,Aumentou,3,1,2,1 ano,NA,Maria,NA,60 e 150,5
215,22,Homem,NA,Asiático,NA,Superior (incompleto),2,Saúde,Medicina,São paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,F,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,8
216,24,Mulher,NA,Branco,NA,Superior (completo),2,Artes,Moda,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,B,NA,NA,20%,Igual,Igual,NA,NA,Aumentou,2,1,3,1 ano,Maria,NA,NA,60 e 150,9
217,35,Homem,NA,Asiático,NA,Superior (completo),2,Exatas,Eng. Mecânica,Sumaré - SP,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,C,NA,20%,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Maria,60 e 150,10
218,20,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Exatas,Arquitetura,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,F,10%,Igual,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,Maria,NA,60 e 150,5
219,55,Mulher,NA,Asiático,NA,Pós graduação (completa),2,Exatas,Analise de sistemas e economia,Sao Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,NA,NA,E,Não sei,NA,NA,Igual,Menos suscetível,Aumentou,2,1,3,1 ano,Maria,NA,NA,90 e 60,7
220,22,Mulher,NA,Preto,NA,Ensino Médio (completo),1,Humanas,psicologia,são paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Carolina,60 e 150,7
221,24,Homem,NA,Pardo,NA,Superior (incompleto),2,Humanas,Administração,Porto Alegre,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,F,10%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,8
222,66,Mulher,NA,Branco,NA,Pós graduação (completa),2,Biológicas,Psicologia,Umuarama PR,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,NA,C,NA,30%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,4
223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,Até 1 salário mínimo (R$ 1045),1,NA,NA,E,Não sei,Menos suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,Não sei,Carolina,NA,NA,90 e 60,2
225,23,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia Civil,Sao Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA,NA
226,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Jornalismo,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,22,Mulher,NA,Branco,NA,Superior (completo),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,21,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Saúde,Psicologia,São paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",5,NA,NA,E,20%,NA,NA,Igual,Igual,Aumentou,3,1,2,1 ano,Maria,NA,NA,60 e 150,4
232,39,Mulher,NA,Pardo,NA,Ensino Fundamental (incompleto),1,Não cursei,NA,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,100 e 50,NA
233,29,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Medicina,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA,NA
234,24,Homem,NA,Pardo,NA,Superior (incompleto),2,Exatas,Engenharia da Informação,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,NA,NA,Igual,Igual,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,10
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,18,Mulher,NA,Branco,NA,Ensino Médio (incompleto),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,18,Mulher,NA,Branco,NA,Ensino Médio (incompleto),1,Exatas,Engenharia Química,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,27,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito,Campinas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,60 e 150,NA
241,22,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Arquitetura,Sao Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,Não sei,NA,Maria,NA,60 e 150,6
242,57,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Fisica,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA,NA
243,25,Mulher,NA,Preto,NA,Superior (completo),2,Artes,Teatro,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,60 e 150,NA
244,58,Mulher,NA,Branco,NA,Superior (incompleto),2,Não cursei,NA,Sp,Nenhuma,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
245,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Nutrição,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,60 e 150,NA
246,22,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Saúde,Medicina veterinária,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,70 e 120,NA
247,28,Mulher,NA,Branco,NA,Pós graduação (completa),2,Exatas,Administração,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,C,NA,Não sei,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,3,2,1,Não sei,Maria,NA,NA,60 e 150,10
248,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Biológicas,Obstetrícia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Carolina,60 e 150,6
249,54,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Não cursei,NA,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,30%,Menos suscetível,Menos suscetível,NA,NA,Aumentou,2,1,3,1 ano,NA,NA,Maria,60 e 150,3
250,21,Homem,NA,Asiático,NA,Superior (completo),2,Humanas,Letras,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA,NA
251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,21,Mulher,NA,Pardo,NA,Superior (incompleto),2,Saúde,Psicologia,Recife,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",6 ou mais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
253,25,Mulher,NA,Branco,NA,Superior (completo),2,Artes,Design Digital,Santos - SP,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",6 ou mais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA,60 e 150,NA
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,22,Mulher,NA,Asiático,NA,Superior (incompleto),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,61,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Sociologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,A,NA,NA,20%,Igual,Menos suscetível,NA,NA,Não sei,3,2,1,1 ano,NA,Carolina,NA,60 e 150,7
257,22,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Direito,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA
258,58,Mulher,NA,Outro (Especificar),amarela,Superior (completo),2,Biológicas,Ciências Biológicas,Campinas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
259,55,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Tecnologia em Processamento de Dados,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,30 e 90,NA
260,28,Homem,NA,Branco,NA,Pós graduação (incompleta),2,Biológicas,Biologia,Curitiba,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,C,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Maria,60 e 150,5
261,50,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Mogi das Cruzes,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
